;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
459;5.1;5.1;5.1;5.1;5.1;5.1;1
460;5.1;5.1;5.1;5.1;5.1;5.1;1
461;5.1;1.3;3.7;5.1;1.3;5.1;1
462;5.1;5.1;5.1;5.1;5.1;5.1;1
463;5.1;5.1;5.1;5.1;5.1;5.1;1
464;5.1;5.1;5.1;5.1;5.1;5.1;1
465;5.1;5.1;5.1;5.1;5.1;5.1;1
466;5.1;5.1;5.1;5.1;5.1;5.1;1
467;5.1;5.1;5.1;5.1;5.1;5.1;1
468;5.1;5.1;5.1;5.1;5.1;5.1;1
469;1.3;2.7;2.0;1.0;5.1;2.3;1
470;5.1;5.1;5.1;5.1;5.1;5.1;1
471;5.1;5.1;5.1;5.1;5.1;5.1;1
472;5.1;5.1;5.1;5.1;5.1;5.1;1
473;5.1;5.1;5.1;5.1;5.1;5.1;1
474;5.1;5.1;5.1;5.1;5.1;5.1;1
475;1.7;3.3;5.1;1.3;1.7;2.3;1
476;5.1;5.1;5.1;5.1;5.1;5.1;1
